SXCUS,SXCLC,SXPRIM,SVSEQ,SVCSA,SVNA1,SVNA2,SVNA3,SVNA4,SVNA5,SVPZIP,SVLNM,SVPHN,SVFAX,SVTLX,SVC08,SVSWB,SVCNAS,SVSWL,SVSWBR,SVXM,SVPCB,SVNSR,SVSPC,SVSPS,SVPMR,SVRMR,SVSMR,SVFXC,SVFXM,SVMMC,SVMMM,SVMMI,SVCDR,SVCCR,SVYTRI,SVYRET,SVYPLA,SVYOPI,SVYDRC,SVYNET,SVYRI1,SVYRI2,SVYRI3,SVYRI4,SVBTM,SVCTM,SVNRM
11111,,P,,"Dear Customer,",13/45 Schroeder Cliff, Poblacion, Bais 1409 Zamboanga del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11112,,P,,Dear Mr/Mrs.,92 Cruickshank Trail, Santa Maria 3292 Eastern Samar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11113,,P,,Dear,90 Kessler Ville Suite 013, Zaragoza 2691 Isabela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11114,,P,,Dear Mr/Mrs.,20A Olson Bridge Apt. 455, Guindulungan 8017 Cotabato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11115,,P,,"Dear Customer,",47 Mueller Cape Suite 560, Poblacion, Lucena 0704 Zamboanga Sibugay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11116,,P,,"Dear Customer,",76 Luettgen Burg Suite 150, Poblacion, Tanjay 4541 Zamboanga del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11117,,P,,Dear Mr/Mrs.,79A/41 Schamberger Ville Apt. 337, Poblacion, Batangas City 8637 Catanduanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11118,,P,,"Dear Customer,",27 Fritsch Views Apt. 352, San Vicente 6522 Agusan del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11119,,P,,Dear Mr/Mrs.,65A Russel Meadow Suite 046, Kalingalan Caluang 3038 Marinduque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11120,,P,,"Dear Customer,",76A Conn Flat Suite 899, Poblacion, Las Piñas 2744 Maguindanao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11121,,P,,Dear Mr/Mrs.,43 Okuneva Groves Suite 344, Kalilangan 6950 Zamboanga Sibugay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122,,P,,Dear Mr/Mrs.,89 Beatty Ridges Suite 778, Pantabangan 5090 Benguet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11123,,P,,Dear,75 Romaguera Extensions, Digos City 0377 Nueva Vizcaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11124,,P,,"Dear Customer,",52A Osinski Row Suite 857, Lagangilang 5869 Tarlac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11125,,P,,"Dear Customer,",23A Beahan Meadow, Poblacion, Vigan 8406 Surigao del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11126,,P,,Dear Mr/Mrs.,35A Dare Track Apt. 009, Poblacion, Tagum 8262 Basilan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11127,,P,,Dear,00 Orn Lake Suite 047, Tagapul-an 7568 Zamboanga del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11128,,P,,Dear Mr/Mrs.,35 O'Conner Terrace Apt. 655, Mallig 8781 Batangas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11129,,P,,Dear,77A Parisian Mountains Suite 307, Manapla 4625 Mountain Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130,,P,,Dear Mr/Mrs.,88A Crist Stravenue Apt. 020, General Mamerto Natividad 7284 La Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11131,,P,,"Dear Customer,",36A Renner Summit, Poblacion, Pasig 0889 Biliran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11132,,P,,Dear,07 Keebler Coves Suite 360, Poblacion, Pasig 3723 Camarines Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11133,,P,,Dear Mr/Mrs.,28/77 Donnelly Mountain, Kabasalan 7618 Palawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11134,,P,,Dear Mr/Mrs.,21A/55 Connelly Lodge Apt. 281, San Narciso 2453 Sulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11135,,P,,Dear Mr/Mrs.,98A/97 Barrows Lake, Santo Tomas 6218 Bukidnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11136,,P,,Dear Mr/Mrs.,96 Schultz Forge Suite 692, Poblacion, Tabuk 8152 Ilocos Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11137,,P,,Dear Mr/Mrs.,91A Adams Manors Suite 184, Old Panamao 1803 Eastern Samar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11138,,P,,"Dear Customer,",96A Bahringer Land Apt. 582, Poblacion, Calbayog 1832 Cagayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11139,,P,,"Dear Customer,",06 Jast Stravenue, Bacuag 1171 Zambales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11140,,P,,Dear Mr/Mrs.,08A Mosciski Glen Suite 432, Poblacion, Makati 8521 Negros Occidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11141,,P,,"Dear Customer,",37A O'Keefe Estates Apt. 252, Poblacion, Muntinlupa 7437 Davao Oriental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11142,,P,,Dear Mr/Mrs.,70A Rosenbaum Stream, Kiangan 3145 Catanduanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11143,,P,,Dear,33A/34 Douglas Inlet, General Trias 1350 Masbate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11144,,P,,Dear,63A/42 Veum Cliff Apt. 673, Poblacion, Santa Rosa 5847 Camarines Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11145,,P,,"Dear Customer,",04/94 Mraz Burgs, Santa Praxedes 7404 Bukidnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
